Brand,Model,km_driven,Owner,Mfg_year,Fuel_type,Mileage,Transmission,Price(lakh)
Skoda,Rapid,"31,000",First,2018,Petrol,14.84,Automatic,8.75
Volkswagen,Polo,"37,000",First,2014,Petrol,16.47,Manual,3.85
Toyota,Urban,"27,000",First,2020,Petrol,17,FWD,9.49
Maruti,Suzuki,"79,000",First,2016,Diesel,27.62,Manual,4.25
Maruti,Suzuki,"68,000",First,2018,CNG,58,FWD,4.85
Honda,Jazz,"27,000",First,2017,Petrol,19,Automatic,6.51
Hyundai,Verna,"37,000",First,2015,Petrol,FWD,No,5.85
Volkswagen,Vento,"67,000",First,2015,Diesel,21.21,Automatic,6.45
Maruti,Suzuki,"79,000",First,2019,Diesel,28.4,Manual,7.49
Ford,EcoSport,"32,000",First,2020,Diesel,23,Manual,9.39
Volkswagen,Polo,"65,000",First,2016,Petrol,17.21,Automatic,6.25
